brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,buy link
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,32790,23,3.7,63,12,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,19590,21325,8,3.6,1894,256,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=2
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,19990,27990,28,3.7,1153,159,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=3
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,21490,27990,23,3.7,1153,159,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=4
Avita,PURA,AMD,APU Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,24990,33490,25,3.7,1657,234,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=5
Avita,PURA,AMD,APU Dual,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,24990,33490,25,3.7,1657,234,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=6
HP,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,20900,22825,8,3.9,1185,141,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=7
Lenovo,APU,AMD,APU Dual,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,21896,0,0,3.9,219,18,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=8
HP,Athlon,AMD,Athlon Dual,10th,32 GB GB,DDR4,32 GB,0 GB,Windows,32-bit,4,Casual,14,0,No,No,26899,27668,2,0,0,0,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=9
acer,Aspire,AMD,Athlon Dual,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,31990,36990,13,4.2,76,13,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=10
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34649,41990,17,2.3,3,0,https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_2_sspa?crid=1HNYTA6QORXBX&dib=eyJ2IjoiMSJ9.r-hoStjogIKhBgH9wbiOIWCN4wAbDTyW6b_wBGqg0U1v6gsrP4kYTd67ECpCrqsZ.G-n7vDc1hV32UGG9yCM7G3_kOi4uifVZqrZH1cTOcwQ&dib_tag=se&keywords=lenovo+amd+a6-9225+radeon+r4&nsdOptOutParam=true&qid=1728381919&sprefix=lenovo+a6-922%2Caps%2C343&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=11
